" U.S. Citizenship and Immigration Services
1 Completions includes the total approvals and denials for each district. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data: Based on June 2013 Final,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Performance Analysis System (PAS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Report Created: August 15, 2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Report Frequency: Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"By: Office of Performance and Quality (OPQ), Performance Analysis and External Reporting Branch (PAER) - MLL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parameters:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date(s): Oct 2012 - Jun 2013 (Updated FY2013 Data),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Form Type(s):  I-485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data Type(s): Receipts, Approvals, Denials, and Pending",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USCIS Districts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
