" U.S. Citizenship and Immigration Services
, SFR , SAN FRANCISCO CA , -   ,89,17,407, -   ,29,12,77, -   ,1,1,4, -   ,196,49,509,1,"6,781",484,"11,535", -   ,12,1,32, -   ,173,15,557,1,"7,860","13,700"
, SNA , SAN ANTONIO TX , -   ,2,2,18, -   ,13,1,48, -   , -   , -   , -   , -   ,26,4,43, -   ,"1,988",125,"3,291", -   ,12,2,96, -   ,161,34,96, -   ,"2,370","3,760"
, SND , SAN DIEGO CA , -   ,9,2,33, -   ,16, -   ,120, -   , -   , -   , -   , -   ,51,2,267, -   ,"2,104",159,"3,316", -   ,4,1,11, -   ,41,1,144, -   ,"2,390","4,056"
, SPM , ST. PAUL MN , -   ,34,5,93, -   ,75,31,179, -   , -   , -   , -   , -   ,18,7,79, -   ,"1,007",140,"2,347", -   , -   ,2,3, -   ,42,2,212, -   ,"1,363","3,100"
, TSC , TEXAS SERVICE CENTER , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
, WAS , WASHINGTON DC , -   ,64,11,97, -   ,31,9,51, -   , -   , -   , -   , -   ,150,51,872, -   ,"2,647",415,"8,374", -   ,25,4,237,5,294,26,403,5,"3,727","10,550"
, CSC , CALIFORNIA SERVICE CENTER , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
2013 Total,,,4,"1,106",200,"6,422",277,655,240,"4,988", -   ,7,4,73,1,"2,740",658,"16,712","128,292","103,809","13,448","779,330","18,550","3,373",633,"111,131","2,120","4,773","1,169","15,101","149,244","132,815","950,109"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Please note: The report reflects the most up-to-date estimate available at the time the report is generated.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"* When a breakdown by district was not possible, service center or field office information was included instead. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data: Based on March 2013 Final,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Performance Analysis System (PAS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Report Created: May 9, 2013, updated June 11, 2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Report Frequency: Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"By: Office of Performance and Quality (OPQ), Data Analysis and Reporting Branch (DARB) - KS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parameters:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date: Oct 2012 - Mar 2013 (Updated FY2013 Data),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Form Types:  I-485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data Type: Receipts, Approvals, Denials, and Pending",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
