, New Orleans  , NOL ,503,396,47,"2,138", -   ,24, D ,194,84,124, D ,361,12,58,10,72,599,602,65,"2,765"
 Maine ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Portland  , POM ,95,243,12,210, -   ,16, -   ,39,20,14, -   ,12, D , D , D , D ,116,279,15,268
 Maryland ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Baltimore  , BAL ,"1,839","1,709",110,"8,274", D ,131, D ,888,19,33, D ,256,28,13,25,363,"1,887","1,886",145,"9,781"
 Massachusetts ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Boston  , BOS ,"2,015","1,026",194,"5,822", -   ,218, D ,780,19,17, D ,90,50,35, D ,161,"2,084","1,296",211,"6,853"
, Lawrence , LAW ,704,460,63,"1,824", -   ,84, -   ,201, D , D , D ,57, D ,12, D ,62,720,558,68,"2,144"
 Michigan ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Detroit  , DET ,964,"1,079",112,"2,356", -   ,135, D ,512,109,126,10,229,15,18, D ,41,"1,088","1,358",126,"3,138"
 Minnesota ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, St. Paul  , SPM ,910,511,61,"5,160", -   ,18, -   ,358,49,27, D ,367, D ,19, D ,130,968,575,70,"6,015"
 Missouri ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Kansas City  , KAN ,476,612,39,"1,195", -   ,39, -   ,149,64,644, D ,200, D , D , -   ,12,544,"1,302",46,"1,556"
, St. Louis  , STL ,312,339,27,924, -   ,22, -   ,180,13, D , D ,46, D , D , D ,12,330,371,30,"1,162"
 Montana ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Helena  , HEL ,84,202,10,272, -   , D , -   ,11, -   ,16, -   , D , -   , D , -   , D ,84,223,10,293
 Nebraska ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Omaha  , OMA ,210,339,36,856, -   ,10, -   ,63,250,"1,002",26,948, D , D , D ,22,462,"1,354",63,"1,889"
 Nevada ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Las Vegas  , LVG ,996,659,115,"3,786", -   ,24, -   ,68,548,256,20,"1,519", D ,10, D ,20,"1,546",949,137,"5,393"
, Reno  , REN ,167,186,12,751, -   , D , D ,19, D ,69, -   ,186, D , -   , -   , D ,171,257,14,957
 New Hampshire ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Manchester  , MAN ,142,149,10,354, -   ,26, -   ,72, D , D , -   ,11, D , D , -   , D ,149,184,10,442
New Jersey,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Mount Laurel , MTL ,696,716,74,"2,208", -   ,48, D ,246,19,26, D ,95, D , D , D ,17,722,797,88,"2,566"
, Newark  , NEW ,"3,303","2,370",412,"14,409", D ,298,24,"1,552",237,153,12,958,40,18,24,136,"3,583","2,839",472,"17,055"
 New Mexico ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Albuquerque  , ABQ ,252,425,24,714, -   ,27, -   ,119,43,416, D ,255, -   , -   , -   ,13,295,868,27,"1,101"
 New York ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Albany  , ALB ,211,84,16,556, -   ,29, -   ,109, D , -   , D ,20, D , D , -   , D ,213,115,17,689
, Brooklyn , BNY ,"2,330","1,307",282,"12,109", D ,82, D ,263,21,14, D ,226,78,16,11,236,"2,430","1,419",300,"12,834"
, Buffalo  , BUF ,288,233,27,732, -   ,38, D ,120,151,145, D ,351, D , D , D , D ,445,421,34,"1,212"
, Long Island , LNY ,"1,013","1,376",154,"5,826", -   ,41,12,235,20,11, D ,102,62,39,16,521,"1,095","1,467",186,"6,684"
, New York  , NYC ,"3,262","1,936",201,"17,711", D ,172, D ,905,23,30, D ,552,105,49,12,501,"3,392","2,187",217,"19,669"
, Queens , QNS ,"2,365","1,390",221,"11,130", D ,78,20,479,15,30,13,283,80,52,51,291,"2,461","1,550",305,"12,183"
 North Carolina ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Charlotte  , CLT ,741,860,55,"2,176", -   ,27, D ,263,79,176, D ,441, D , D , -   ,34,823,"1,072",61,"2,914"
, Raleigh , RAL ,756,695,33,"1,881", -   ,71, D ,332,66,187, D ,161, D , D , D ,42,830,956,38,"2,416"
 Ohio ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Cincinnati  , CIN ,257,288,39,728, -   ,19, -   ,91,11,12, D ,49, D ,14, D ,10,271,333,43,878
, Cleveland  , CLE ,400,416,46,795, -   ,47, D ,136,29,25, D ,43, D ,27, -   ,20,434,515,51,994
, Columbus , CLM ,353,327,32,951, -   ,31, -   ,111,13,19, D ,76, D , D , D ,24,368,386,36,"1,162"
 Oklahoma ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Oklahoma City  , OKC ,454,448,45,"1,671", -   ,13, D ,127,30, D , D ,155, D , D , D ,28,487,476,51,"1,981"
 Oregon ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Portland  , POO ,767,819,56,"2,074", -   ,62, D ,253,85,78, D ,211, D , D , -   ,10,857,963,63,"2,548"
 Pennsylvania ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Philadelphia , PHI ,"1,685","1,029",198,"6,309", -   ,76, D ,515,123,77, D ,381,13,56, D ,67,"1,821","1,238",219,"7,272"
, Pittsburgh  , PIT ,332,313,19,787, -   ,59, -   ,251,12, D , -   ,36, D , -   , -   , D ,345,381,19,"1,079"
 Rhode Island ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Providence  , PRO ,305,571,58,918, -   , D , -   ,44, -   ,24, -   ,14, D , D , -   ,26,313,610,58,"1,002"
 South Carolina ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Charleston  , CHL ,344,337,48,903, -   ,10, -   ,79,27,222, D ,111, D , D , D , D ,376,575,52,"1,102"
, Greer , GRR ,192,187, D ,507, -   ,20, -   ,56,18,10, -   ,25, D , D , -   , D ,213,218, D ,595
,,,,,,,,,"Number of I-485 Applications to Register Permanent Residence or Adjust Status by Category of              
Admission, Case Status, and USCIS Field Office or Service Center Location              
October 1 - December 31, 2017  ",,,,,,,,,,,,,
,,, Applications by Category of Admission and Case Status ,,,,,,,,,,,,,,,,,,,
,,, Family-based ,,,,Employment-based received at service center1,,,,Humanitarian-based1,,,,Others1,,,, Total ,,,
,,,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5
 Tennessee ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Memphis  , MEM ,734,543,55,"2,744", -   ,36, D ,335,138,244, D ,386,20, D , D ,90,892,831,68,"3,555"
 Texas ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Dallas  , DAL ,"3,272","2,123",237,"15,013", D ,253,32,973,338,551, D ,"1,007",31,45,34,293,"3,645","2,972",312,"17,286"
, El Paso  , ELP ,762,"1,102",126,"2,522", -   ,12, -   ,119,141,117, D ,287, D ,10, D ,37,904,"1,241",137,"2,965"
, Harlingen  , HLG ,692,574,71,"3,091", -   , D , D ,82,19,13, -   ,72, -   , D , D ,62,711,598,73,"3,307"
, Houston  , HOU ,"3,603","2,241",284,"19,293", -   ,284,20,"1,314","1,386","1,797",23,"4,116",36,24,52,204,"5,025","4,346",379,"24,927"
, San Antonio  , SNA ,"1,850","1,467",108,"7,092", D ,73, -   ,512,474,295, D ,"1,572",17,48, D ,101,"2,343","1,883",119,"9,277"
 Utah ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Salt Lake City  , SLC ,732,385,47,"2,656", -   ,23, D ,120,15, D , D ,93,11,10, D ,20,758,423,53,"2,889"
 Vermont ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, St. Albans  , STA ,61,152,13,192, -   ,13, D ,15, D , D , D ,10, -   , -   , -   , D ,63,167,16,219
 Virginia ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Norfolk  , NOR ,487,593,48,"1,725", D ,20, D ,209,51,23, D ,121, D , D , -   ,36,544,644,60,"2,091"
 Washington ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Seattle  , SEA ,"1,266",816,90,"5,348", -   ,201, D ,"1,136",28,27, D ,126,13, D , D ,32,"1,307","1,052",107,"6,642"
, Spokane  , SPO ,85,89,19,251, -   , D , -   ,23,11, D , -   ,27, -   , D , D , D ,96,107,20,306
, Yakima , YAK ,178,221,25,459, -   , D , -   ,35, D ,16, -   ,38, -   , D , -   , D ,179,244,25,539
 West Virginia ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Charleston  , CHS , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 Wisconsin ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Milwaukee  , MIL ,467,453,47,"1,605", D ,32, D ,164,24,14, D ,57, D ,16, D ,113,493,515,50,"1,939"
 Guam ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Agana , AGA ,172,143,12,441, -   , -   , -   ,45, -   , -   , -   , D , -   , -   , -   , D ,172,143,12,492
 U.S. Virgin Islands ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Charlotte Amalie , CHA ,15, -   , -   ,120, -   , -   , -   , D , D , -   , -   ,295, -   , -   , -   , -   ,16, -   , -   ,418
, Christiansted  , CHR , D , -   , D ,54, -   , -   , -   , -   , -   , -   , -   , D , -   , -   , -   , D , D , -   , D ,56
 Puerto Rico ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, San Juan  , SAJ ,133,95,13,541, -   , -   , -   ,31, D ,81, -   ,134, -   , D , -   , D ,142,177,13,709
 Service Center ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, California , WSC , D , D , -   ,217,927,365,16,"2,031", -   , -   , -   ,29,218, -   , -   ,277,"1,146",368,16,"2,554"
, National Benefits  Center , NBC , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
, Nebraska , NSC , -   , -   , -   , -   ,"16,776","14,765","1,159","63,061","30,676","21,027",314,"61,379",349,124, D ,"1,636","47,801","35,916","1,475","126,076"
, Potomac , YSC , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
, Texas , SSC ,15, D , -   ,18,"15,586","10,266",651,"49,642","1,949","3,188",133,"13,195",104,73,15,"1,186","17,654","13,528",799,"64,041"
, Vermont , ESC ,"2,075", -   ,55,"3,497", -   , -   , -   , D ,345, D , -   ,478,"7,667","3,669",492,"25,249","10,087","3,670",547,"29,225"
,,,,,,,,,,,,,,,,,,,,,,
 D  Data withheld to protect applicants' privacy. ,,,,,,,,,,,,,,,,,,,,,,
#NAME?,,,,,,,,,,,,,,,,,,,,,,
"1  Family-based applications for legal permanent resident (LPR) status are based on a family relationship with an LPR or a U.S. citizen. Employment-based petitions are to 
",,,,,,,,,,,,,,,,,,,,,,
"   request entrance to the U.S. for purposes of employment, either temporary or permanent resident, or for an entrepreneur who wishes to immigrate to the U.S. to create a commercial enterprise. ",,,,,,,,,,,,,,,,,,,,,,
"   Others includes all other I-485 applications, to include those filed under the Haitian Refugee Immigration Fairness Act (HRIFA) program and the Creation of Record for North American Indians born",,,,,,,,,,,,,,,,,,,,,,
   in Canada based on Section 289 of the Immigration and Nationality Act (INA).,,,,,,,,,,,,,,,,,,,,,,
2  The number of new applications received and entered into a case-tracking system during the reporting period.,,,,,,,,,,,,,,,,,,,,,,
3  The number of applications approved during the reporting period.,,,,,,,,,,,,,,,,,,,,,,
"4  The number of applications that were denied, terminated, or withdrawn during the reporting period.",,,,,,,,,,,,,,,,,,,,,,
5  The number of applications awaiting a decision as of the end of the reporting period.,,,,,,,,,,,,,,,,,,,,,,
6  Represents the office location. The office location does not reflect the complete area covered by the office’s jurisdiction. Please refer to USCIS.gov for office jurisdictions.,,,,,,,,,,,,,,,,,,,,,,
"NOTE: 1) Some applications approved, denied, or awaiting a decision may have been received in previous reporting periods. ",,,,,,,,,,,,,,,,,,,,,,
           2) The report reflects the most up-to-date estimate available at the time the report is generated.,,,,,,,,,,,,,,,,,,,,,,
"Source:  Department of Homeland Security, U.S. Citizenship and Immigration Services, Performance Analysis System (PAS), December 2017",,,,,,,,,,,,,,,,,,,,,,
